method,prompt_type,prompt_id,reuse_interval,round,staleness_rounds,draft_tokens,accepted_len,retrieval_update,selected_count,oracle_overlap,pipeline_hit,pipeline_reuse,pipeline_wait_ms
reuse_R1,pg19,1,1,84,0,32,1,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,85,0,32,1,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,86,0,32,1,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,87,0,32,0,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,88,0,32,1,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,89,0,32,0,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,90,0,32,4,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,91,0,32,0,1,16,1.0,0,0,0.0
reuse_R1,pg19,1,1,92,0,32,3,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,0,0,32,0,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,1,1,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,2,0,32,4,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,3,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,4,0,32,4,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,5,1,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,6,0,32,4,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,7,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,8,0,32,4,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,9,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,10,0,32,4,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,11,1,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,12,0,32,0,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,13,1,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,14,0,32,0,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,15,1,32,4,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,16,0,32,2,1,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,17,1,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,18,0,32,1,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,19,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,20,0,32,4,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,21,1,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,22,0,32,2,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,23,1,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,24,0,32,1,1,16,1.0,0,0,0.0
reuse_R2,pg19,1,2,25,1,32,3,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,26,0,32,4,1,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,27,1,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,28,0,32,1,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,29,1,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,30,0,32,1,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,31,1,32,4,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,32,0,32,0,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,33,1,32,3,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,34,0,32,1,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,35,1,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,36,0,32,2,1,16,0.6,0,0,0.0
reuse_R2,pg19,1,2,37,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,38,0,32,4,1,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,39,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,40,0,32,3,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,41,1,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R2,pg19,1,2,42,0,32,4,1,16,0.6842105263157895,0,0,0.0
reuse_R2,pg19,1,2,43,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,44,0,32,0,1,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,45,1,32,0,0,16,0.7777777777777778,0,0,0.0
reuse_R2,pg19,1,2,46,0,32,4,1,16,0.8823529411764706,0,0,0.0
