network,method,prompt_type,prompt_id,verify_input_len,verify_ms,rtt_ms
good,sync_k8,gsm8k,7,138.0,55.454254150390625,81.9161763333118
good,sync_k8,gsm8k,7,147.0,59.80229377746582,86.10020866663973
good,sync_k8,gsm8k,7,156.0,60.73141098022461,87.10190366670733
good,sync_k8,gsm8k,7,165.0,67.89898872375488,94.55166866666809
good,sync_k8,gsm8k,7,174.0,69.54789161682129,97.53432299999587
good,sync_k8,gsm8k,7,183.0,74.07641410827637,103.54712233341753
good,sync_k8,gsm8k,7,187.0,72.54862785339355,100.01517266671543
good,tree_k8_b3,gsm8k,7,66.0,,64.18020900001949
good,tree_k8_b3,gsm8k,7,74.0,,65.08689399993048
good,tree_k8_b3,gsm8k,7,83.0,,68.03189266671367
good,tree_k8_b3,gsm8k,7,91.0,,67.36455600002171
good,tree_k8_b3,gsm8k,7,99.0,,72.10076800001613
good,tree_k8_b3,gsm8k,7,108.0,,72.99971566668253
good,tree_k8_b3,gsm8k,7,111.0,,74.39885299993085
good,tree_k8_b3,gsm8k,7,120.0,,79.40332500004708
good,tree_k8_b3,gsm8k,7,129.0,,82.13604166666231
good,tree_k8_b3,gsm8k,7,138.0,,83.0994386666592
good,tree_k8_b3,gsm8k,7,147.0,,87.9009220000263
good,tree_k8_b3,gsm8k,7,156.0,,88.63897766670536
good,tree_k8_b3,gsm8k,7,165.0,,93.33694066674548
good,tree_k8_b3,gsm8k,7,174.0,,95.42843433335331
good,tree_k8_b3,gsm8k,7,183.0,,100.19769400001833
good,tree_k8_b3,gsm8k,7,192.0,,102.48725766671029
good,sync_k8,gsm8k,8,73.0,39.642333984375,67.38637366660436
good,sync_k8,gsm8k,8,78.0,36.59510612487793,63.4960850000736
good,sync_k8,gsm8k,8,87.0,39.95800018310547,66.60198733338406
good,sync_k8,gsm8k,8,96.0,41.15629196166992,67.66040966666463
good,sync_k8,gsm8k,8,99.0,45.74894905090332,72.49903266671974
good,sync_k8,gsm8k,8,108.0,46.964406967163086,73.32932833342565
good,sync_k8,gsm8k,8,117.0,51.12147331237793,78.21152833334206
good,sync_k8,gsm8k,8,126.0,51.717519760131836,78.24062166669573
good,sync_k8,gsm8k,8,135.0,55.8316707611084,82.15308899994916
good,sync_k8,gsm8k,8,144.0,57.982444763183594,85.17370199997166
good,sync_k8,gsm8k,8,150.0,63.39001655578613,91.0964089999835
good,sync_k8,gsm8k,8,153.0,62.03579902648926,88.98730633344047
good,sync_k8,gsm8k,8,160.0,63.87042999267578,90.72110633331543
good,sync_k8,gsm8k,8,169.0,67.93093681335449,95.42538366662608
good,sync_k8,gsm8k,8,178.0,72.23749160766602,99.37853633341584
good,sync_k8,gsm8k,8,187.0,73.0428695678711,100.2966653333572
good,sync_k8,gsm8k,8,196.0,78.0632495880127,106.53476633336932
good,tree_k8_b3,gsm8k,8,73.0,,65.77404466660528
good,tree_k8_b3,gsm8k,8,78.0,,68.8848226666181
good,tree_k8_b3,gsm8k,8,87.0,,67.99073733331683
good,tree_k8_b3,gsm8k,8,96.0,,69.92098933334148
good,tree_k8_b3,gsm8k,8,99.0,,73.54535833334977
good,tree_k8_b3,gsm8k,8,108.0,,74.8648283333574
good,tree_k8_b3,gsm8k,8,117.0,,78.36486200002702
good,tree_k8_b3,gsm8k,8,126.0,,79.1353610000484
good,tree_k8_b3,gsm8k,8,135.0,,84.04926766666985
good,tree_k8_b3,gsm8k,8,144.0,,87.06588533338764
good,tree_k8_b3,gsm8k,8,150.0,,88.92517599997073
good,tree_k8_b3,gsm8k,8,153.0,,90.79216966659487
good,tree_k8_b3,gsm8k,8,160.0,,92.69737733341866
good,tree_k8_b3,gsm8k,8,169.0,,94.21481366661406
good,tree_k8_b3,gsm8k,8,178.0,,98.10922066667464
good,tree_k8_b3,gsm8k,8,187.0,,99.62627633336459
good,tree_k8_b3,gsm8k,8,196.0,,103.85568199998387
good,sync_k8,gsm8k,9,64.0,33.89334678649902,60.717282999972056
good,sync_k8,gsm8k,9,69.0,37.10031509399414,64.54930866669247
good,sync_k8,gsm8k,9,78.0,39.78586196899414,67.06858799995418
good,sync_k8,gsm8k,9,87.0,41.95880889892578,69.00861966662828
good,sync_k8,gsm8k,9,96.0,44.278621673583984,71.87802299996869
good,sync_k8,gsm8k,9,105.0,46.48900032043457,73.55278733330431
good,sync_k8,gsm8k,9,114.0,49.283504486083984,76.1186216666509
good,sync_k8,gsm8k,9,123.0,51.54252052307129,78.4397310000053
good,sync_k8,gsm8k,9,132.0,54.84342575073242,81.98233700001072
